Country,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,4,5,5,1,0,0,2,0,16,0,34,10,10,16,0,10,50,4,63,36,8,18,50,18,56,21,40,37,34,52,58,49,70,56,66,27,63,30,66,84,103,72,112,68,172,125,111,232,164,134,235,190,330,168,171,215,255,369,285,276,263,413,414,349,262,408,581,492,531,540,782,584,591,658,625,580,623,866,680,545,759,758,787,915,582,791,575,542,683
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,2,11,10,5,4,9,4,4,5,6,6,13,15,19,23,28,12,11,15,11,20,16,18,27,29,28,16,6,17,9,7,17,13,21,8,19,24,21,9,14,22,25,25,29,15,34,14,10,14,16,7,9,7,6,8,17,12,10,8,6,12,4,4,4,18,18,17,13,2,1,15,5,12,8,9,6,25,21,26,23,23,15,6,21,20,13,15,20,14,17,36,42
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,7,0,5,0,2,1,0,0,4,2,11,11,6,6,14,13,3,49,62,29,34,38,65,42,45,57,73,132,131,139,185,80,69,103,45,104,94,95,64,89,69,87,90,108,150,116,95,89,93,99,97,120,129,126,135,132,199,158,148,141,179,174,190,159,185,187,189,165,168,176,186,189,187,192,198,182,176,165,186,190,195,193,197,194,160,140,137,133,127,119,113,107,98,104,115,104,111,117,102
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,0,14,22,13,25,20,31,24,36,43,41,26,36,6,14,38,11,27,35,24,20,19,19,18,0,37,8,13,14,0,23,8,9,4,0,6,0,8,7,0,5,0,0,2,0,2,1,2,1,0,1,0,2,1,0,3,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,79,7,1,0,0,0,0,0,0
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,2,0,0,1,0,0,2,4,2,1,2,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,1,0,0,0,3,5,0,0,1,0,0,7,0,2,0,0,0,3,0,0,0,2,2,0,6,2,1,8,1,0,1,3,7,3,2,0,0,0,0,0,2,3,1,4,17
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,2,6,0,0,0,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,4,0,5,2,0,12,3,11,11,12,11,18,31,30,108,35,86,0,115,87,101,55,75,234,0,79,132,186,0,103,74,87,80,180,0,167,66,69,166,128,98,89,81,102,90,113,291,172,173,112,111,124,158,143,104,149,102,104,133,188,163,240,165,258,244,285,316,255,345,326,263,303,438,474,648,718,704,723,552,600,705,769,717,795,637,564,904,949,929,840,983,774,826,1141,1226
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4,10,8,26,26,6,31,21,24,34,41,14,16,25,39,78,17,58,50,39,92,73,34,52,11,20,28,40,16,30,46,26,28,44,48,42,47,43,48,62,72,50,73,81,69,62,59,65,134,82,125,113,121,112,163,102,145,146,138,79,146,180,142,184,239,189,351,218,230,335,322,374,359,452,289,372,442,460,251,355,210,517,515,697,596,547,766,195,350,428
Australia,0,0,0,4,1,0,1,3,0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,3,9,13,3,5,3,13,15,16,21,0,72,50,47,80,75,116,113,110,280,478,133,362,320,446,333,497,344,377,198,303,254,214,220,137,110,98,115,98,107,88,12,36,64,25,22,60,46,42,13,22,7,10,15,17,20,7,23,8,14,12,21,23,25,28,19,19,5,21,9,22,10,9,30,16,9,10,14,4,9,14,4,15,0,12,13,11,15,19,8,10,19,8,11,7,5,7,6,2,7,11
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,6,5,4,3,8,12,14,24,25,27,51,64,56,202,151,205,158,314,314,367,375,426,768,892,809,305,1321,748,614,517,830,562,531,418,395,257,270,246,342,303,302,311,251,139,96,185,110,140,119,76,78,46,78,52,77,69,77,77,49,83,45,50,79,27,39,24,29,34,68,22,59,38,11,79,36,61,51,92,41,27,52,32,51,32,50,17,36,18,34,37,27,30,46,2,26,12,34,38,55,4,66,11,26
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,2,0,0,4,0,8,5,0,0,16,0,9,12,7,15,6,29,43,17,27,64,25,61,41,43,78,63,57,76,105,104,65,67,40,50,49,56,30,57,33,25,38,44,38,30,44,25,28,33,39,49,38,50,40,38,52,76,67,77,75,143,97,70,104,65,121,101,158,136,113,131,113,118,106,127,140,149,132,165,191,230,257,248,168,273,325,262,338,379,314,323,315,339
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,4,1,0,1,3,0,7,3,0,4,0,1,4,7,1,1,4,0,1,2,0,4,1,1,0,5,5,0,7,1,5,2,0,0,0,1,0,2,0,0,6,3,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,10,0,3,5,6,2,0,3,3,5,25,0,10,15,85,0,0,15,4,0,14,28,22,7,20,29,43,15,27,39,8,10,23,16,52,2,74,29,16,12,56,55,12,64,38,115,96,225,167,143,29,40,33,108,26,66,54,190,301,70,59,76,88,110,119,130,114,99,150,187,214,265,245,330,167,295,295,285,382,385,164,209,228,348,356,286,240,388,336,33,195,326,360,397,344,605,473,440,504,481,539,548,380,654,314,469
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,3,2,4,3,3,5,2,6,6,0,5,4,0,0,1,2,3,2,5,9,18,35,41,54,112,94,58,139,182,209,219,341,266,306,312,492,434,390,414,503,309,418,497,549,641,564,571,552,665,688,786,790,706,709,636,887,1034,969,1162,1041,1202,930,1273,1602,1251,1617,1773,1694,1873,1532,1975,1166,1541,2029,2523,1764,2545,2381,2911,2695,2423,2828,2635,2743,2735,3171,3190
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,8,3,1,0,0,6,2,7,0,1,0,12,5,1,4,4,3,0,3,1,1,3,1,0,1,2,0,0,0,0,0,0,1,1,2,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,3,0,3,15,0,0,9,0,15,0,18,7,0,5,0,5,0,8,0,0,58,0,11,141,47,89,122,138,161,205,420,495,245,352,341,362,447,476,575,0,0,1485,459,558,741,751,817,873,826,919,973,846,890,911,877,784,861,905,913,933,951,921,933,967,952,947,958,951,969,922,936,918,945,932,941,954,946,915,897,902,906,894,898,847,852,861,865,887,883,879,823,812,801
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,10,27,59,60,31,39,28,47,0,245,130,197,172,185,243,309,462,558,586,342,526,668,1298,1049,1850,1702,1063,876,1189,1384,1422,1661,1260,1123,1380,1209,1580,1684,1351,1629,942,530,2454,1236,1329,1045,1313,1487,973,933,908,1496,1032,809,553,647,525,660,513,485,389,361,242,272,639,591,585,485,368,330,202,307,356,345,291,279,232,192,252,276,299,282,250,113,137,257,212,125,195,136,98,70,82,140,165,154,122,89,132
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,2,0,1,1,1,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,1,0,0,0,0,0,0,3,4,0,3,0,6,4,0,0,0,9,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,10,0,0,0,0,26,0,0,6,0,0,44,102,42,35,0,8,0,12,0,0,0,0,-209,0,5,0,0,56,0,17,2,0,14,0,8,11,1,0,17,0,0,0,27,17,0
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,5,1,0,0,0,0,0,0,0,3,0,3,0,1,3,0,2,10,0,4,0,0,1,0,11,0,0,0
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,7,0,1,0,1,0,3,4,5,3,2,3,11,18,13,7,16,10,8,8,9,7,18,26,11,16,54,4,7,25,30,24,43,44,24,28,27,44,34,11,94,104,59,84,64,39,57,57,62,241,124,87,121,84,195,185,171,119,275,133,184,224,205,249,262,175,218,438,268,392,336,348,397,476,632,619,344,861,390,549,460,647,607,483,630,285,306,695,637
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,2,4,2,5,6,1,1,12,25,26,4,33,10,30,10,15,46,21,65,45,52,39,74,46,45,30,20,90,40,54,43,45,63,28,46,27,57,47,54,17,24,33,26,45,8,65,30,49,20,92,80,24,58,18,69,20,41,40,43,20,27,24,17,23,37,18,31,23,14,17,17,12,22,19,10,5,10,19,27,23,9,16,14,11,16,43,12,0,0,98,24,47
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,2,0,0,5,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,1,0,5,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,6
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,9,0,7,5,6,7,14,99,0,11,38,121,51,249,172,228,525,378,323,307,431,432,487,352,323,1138,1119,1208,1012,1304,770,1031,1873,2136,1922,1546,1089,1465,1238,1832,3058,2105,3257,2976,1996,2089,2336,2678,4279,4007,5281,3776,4346,5789,6450,7502,5015,4898,4726,6794,6835,11156,9162,11121,9167,6638,6895,8620,11923,13028,17126,13220,7569,14288,16517,19694,18508,20803,16508,15813,11687,16324,20599,26417,26928,33274,16409,11598,28936,28633,30925,30830,27075,18912,15654,32091,32913
Brunei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,26,3,10,4,2,12,7,3,5,5,3,13,5,5,1,5,6,1,2,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,16,18,10,1,15,25,2,33,36,24,14,17,24,22,29,38,15,13,40,23,35,28,18,28,18,28,16,25,17,26,14,10,28,34,53,46,32,16,35,46,49,73,137,13,53,63,36,48,59,49,39,24,34,52,74,51,43,49,44,25,33,46,31,38,37,36,24,24,33,39,41,36,19,6,10,17,17,8,14,14,6,19,22,25,42,84,16,83,79,104
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,12,0,5,13,7,24,11,24,15,32,6,28,27,15,24,15,21,6,14,16,27,19,20,30,29,0,41,13,0,31,14,4,11,8,11,5,19,9,7,13,0,3,3,3,3,4,4,3,10,10,16,41,7,8,4,3,9,6,7,0,7,2,14,0,0,13,3,2,0,0,18,0,13,2,0,0,0,0,34,3,1,3,0,1,1,1,0
Burma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,4,1,0,5,0,1,0,1,0,0,1,4,11,3,21,1,11,11,3,10,13,8,2,2,16,5,2,0,0,4,0,1,0,0,4,6,0,0,15,1,1,2,0,0,1,0,1,0,2,7,2,6,0,0,2,0,2,3,0,0,1,17,0,4,4,1,3,0,4,2,2,2,2
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,20,0,0,0,0
Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,45,0,0,2,3,6,1,5,9,6,2,16,3,5,0,7,1,30,13,10,11,5,27,12,6,10,14,7,22,26,11,2,0,0,7,14,7,6,9,9,10,0,0,0,15,16,14,23,8,11,25,34,6,12,13,18,30
Cambodia,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,0,0,26,2,2,14,2,31,3,4,5,0,3,0,4,4,2,0,1,4,0,0,0,1,2,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,6,0,3,7,7,13,16,10,9,0,16,0,48,0,54,40,73,203,46,95,8,0,72,0,90,0,0,0,28,0,148,0,21,0,146,0,0,171,96,88,103,84,0,127,0,0,245,0,27,0,161,2,0,7,305,110,0,111,154,151,0,0,424,0,204,555,112,0,490,0,546,0,0,0,468,0,493,188,0,204,603,207,309,152,252,369
Canada,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,2,1,6,4,3,3,3,4,12,5,10,13,2,29,9,76,5,54,163,63,179,143,143,334,192,619,702,461,791,640,894,704,1118,1129,1033,1724,1153,541,2778,807,1309,1269,1513,1405,1257,983,1381,1355,1174,2600,2005,1542,1277,2025,1744,2261,1636,1620,1452,1662,1583,1534,1715,1592,1886,1583,2578,1453,1258,1479,1507,1473,1244,1173,1173,1155,1149,1213,1178,1247,1126,1079,1082,1082,1167,1205,1204,955,1013,971,899,987,933,772,798,809,672,681,628,678,528,703,601,462,479
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,0,2,0,0,3,0,31,0,0,22,0,0,13,0,9,0,49,0,0,0,0,0,0,158,26,0,0,39,52,18,43,73,52,48,19,31,53,119,88,49,58,0,104,115,163,119,64,216,0,38
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,2,0,1,0,1,0,0,1,0,1,0,0,7,5,0,0,4,0,6,0,0,0,0,0,7,6,0,0,6,0,21,0,44,0,0,53,0,83,7,62,0,0,35,15,27,29,46,29,16,26,20,23,23,37,27,12,13,15,11,33,0,19,12,13,17,8,8,0,1,2,5,2
