days,sustained_confirmed,linear_confirmed,sudden_confirmed,sustained_new,linear_new,sudden_new
1,100,100,100,0,0,0
2,120.0057797,120.006,120.006,20.00577971,20.00577971,20.00577971
3,144.0138716,144.014,144.014,24.00809193,24.00809193,24.00809193
4,172.8249696,172.825,172.825,28.81109791,28.81109791,28.81109791
5,207.3999522,207.4,207.4,34.57498269,34.57498269,34.57498269
6,248.8919298,248.892,248.892,41.49197757,41.49197757,41.49197757
7,298.684701,298.685,298.685,49.79277119,49.79277119,49.79277119
8,358.4389043,358.439,358.439,59.75420331,59.75420331,59.75420331
9,430.1474019,430.147,430.147,71.70849759,71.70849759,71.70849759
10,516.2017436,516.202,516.202,86.05434166,86.05434166,86.05434166
11,619.4719272,619.472,619.472,103.2701837,103.2701837,103.2701837
12,743.4021164,743.402,743.402,123.9301891,123.9301891,123.9301891
13,892.1255061,892.126,892.126,148.7233898,148.7233898,148.7233898
14,1070.60217,1070.602,1070.602,178.4766635,178.4766635,178.4766635
15,1284.784481,1284.784,1284.784,214.1823116,214.1823116,214.1823116
16,1541.815634,1541.816,1541.816,257.0311531,257.0311531,257.0311531
17,1850.267874,1850.268,1850.268,308.4522393,308.4522393,308.4522393
18,2220.428389,2220.428,2220.428,370.1605149,370.1605149,370.1605149
19,2664.642401,2664.642,2664.642,444.214012,444.214012,444.214012
20,3197.724889,3197.725,3197.725,533.0824887,533.0824887,533.0824887
21,3837.454686,3837.455,3837.455,639.7297971,639.7297971,639.7297971
22,4605.167417,4605.167,4605.167,767.712731,767.712731,767.712731
23,5526.467066,5526.467,5526.467,921.2996488,921.2996488,921.2996488
24,6632.079893,6632.08,6632.08,1105.612827,1105.612827,1105.612827
25,7958.879187,7958.879,7958.879,1326.799294,1326.799294,1326.799294
26,9551.115025,9551.115,9551.115,1592.235838,1592.235838,1592.235838
27,11461.89006,11461.89,11461.89,1910.775032,1910.775032,1910.775032
28,13754.93053,13754.931,13754.931,2293.040475,2293.040475,2293.040475
29,16506.71163,16506.712,16506.712,2751.781101,2751.781101,2751.781101
30,19809.008,19809.008,19809.008,3302.296367,3302.296367,3302.296367
31,23771.9545,23705.904,20007.151,3962.946503,3896.895877,198.1426694
32,28527.71935,28290.366,20207.275,4755.764851,4584.462302,200.1246222
33,34234.91204,33667.083,20409.402,5707.19269,5376.716625,202.1263997
34,41083.87313,39953.411,20613.55,6848.961087,6286.328436,204.1482003
35,49303.02229,47280.306,20819.74,8219.149155,7326.894494,206.1902243
36,59166.47632,55793.2,21027.993,9863.454029,8512.894437,208.2526739
37,71003.19123,65652.82,21238.329,11836.71491,9859.620128,210.3357535
38,85207.93325,77035.895,21450.768,14204.74202,11383.07508,212.4396695
39,102254.4447,90135.736,21665.333,17046.51142,13099.84052,214.5646301
40,122711.2436,105162.641,21882.044,20456.79895,15026.90492,216.7108461
41,147260.5847,122344.095,22100.922,24549.34108,17181.45411,218.8785299
42,176721.2129,141924.715,22321.99,29460.62818,19580.61959,221.0678963
43,212075.6694,164165.898,22545.269,35354.45655,22241.18355,223.2791621
44,254503.0607,189345.138,22770.782,42427.39124,25179.23969,225.5125465
45,305418.3823,217754.948,22998.55,50915.32167,28409.81009,227.7682707
46,366519.7111,249701.368,23228.597,61101.32877,31946.41976,230.0465581
47,439844.8371,285501.999,23460.944,73325.126,35800.63151,232.3476344
48,527839.2263,325483.545,23695.616,87994.38918,39981.5457,234.6717276
49,633437.5791,369978.816,23932.635,105598.3528,44495.27085,237.0190678
50,760161.7058,419323.189,24172.025,126724.1267,49344.37294,239.3898878
51,912237.9821,473850.501,24413.809,152076.2763,54527.31287,241.7844222
52,1094738.303,533888.385,24658.012,182500.3211,60037.88357,244.2029083
53,1313749.237,599753.045,24904.658,219010.9334,65864.65984,246.6455857
54,1576575.015,671743.52,25153.771,262825.7782,71990.47544,249.1126964
55,1891981.139,750135.464,25405.375,315406.1244,78391.94362,251.6044847
56,2270486.718,835174.502,25659.496,378505.5789,85039.03815,254.1211975
57,2724715.289,927069.255,25916.159,454228.5712,91894.75263,256.6630841
58,3269815.828,1025984.111,26175.39,545100.5385,98914.85634,259.2303963
59,3923967.979,1132031.876,26437.213,654152.1514,106047.7645,261.8233885
60,4708988.369,1245266.416,26701.655,785020.3898,113234.5401,264.4423175
61,5651058.209,1367751.502,26835.199,942069.8397,122485.0861,133.5436336
62,6781596.465,1500004.044,26969.411,1130538.257,132252.5421,134.2115286
63,8138307.715,1642543.806,27104.293,1356711.25,142539.7623,134.882764
64,9766439.629,1795890.227,27239.851,1628131.914,153346.4204,135.5573564
65,11720292.03,1960558.921,27376.086,1953852.398,164668.694,136.2353227
66,14065027.83,2137057.873,27513.003,2344735.804,176498.9528,136.9166797
67,16878846.31,2325883.327,27650.604,2813818.484,188825.4539,137.6014444
68,20255591.13,2527515.376,27788.894,3376744.811,201632.0488,138.2896338
69,24307880.07,2742413.283,27927.875,4052288.94,214897.9071,138.9812651
70,29170861,2971010.543,28067.551,4862980.938,228597.2602,139.6763554
71,35006719.2,3213709.716,28207.926,5835858.192,242699.1723,140.3749221
72,42010086.32,3470877.057,28349.003,7003367.126,257167.3411,141.0769826
73,50414531.65,3742836.992,28490.786,8404445.326,271959.9353,141.7825543
74,60500351.79,4029866.466,28633.278,10085820.14,287029.4736,142.4916548
75,72603918.89,4332189.215,28776.482,12103567.1,302322.749,143.2043018
76,87128898.97,4649970.02,28920.402,14524980.07,317780.805,143.9205129
77,104559714.6,4983308.986,29065.043,17430815.59,333338.9666,144.6403061
78,125477700.7,5332235.918,29210.406,20917986.16,348926.9317,145.3636991
79,150580493.1,5696704.844,29356.497,25102792.39,364468.9254,146.0907101
80,180705294.9,6076588.765,29503.318,30124801.74,379883.9209,146.8213571
81,216856798.1,6471674.695,29650.874,36151503.21,395085.9301,147.5556583
82,260240691.4,6881659.059,29799.168,43383893.31,409984.3644,148.293632
83,312303870.8,7306143.527,29948.203,52063179.43,424484.4675,149.0352965
84,374782695.2,7744631.348,30097.984,62478824.42,438487.821,149.7806703
85,449760895.6,8196524.268,30248.513,74978200.4,451892.9201,150.529772
86,539739069.6,8661120.087,30399.796,89978174,464595.8189,151.2826202
87,647718078.9,9137610.929,30551.835,107979009.3,476490.8428,152.0392336
88,777299130.9,9625082.292,30704.635,129581052,487471.3623,152.7996311
89,932803882.7,10122512.92,30858.199,155504751.8,497430.6245,153.5638315
90,1119418573,10628775.55,31012.531,186614689.9,506262.6359,154.331854
